Unit ID,Condition,Persona,Story,Source unit,Atom,Atomic text,Argument label,AM label,Statement type,AM evidence,AM reason,In validation sample,Human reviewed,Human review label,Human corrected evidence/reason
A-A-04-001-01,A,A,4,1,1,You did well this week tending your garden and reading the news,NONE,GROUNDED,Personal factual assertion,Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative; Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-04-002-01,A,A,4,2,1,I saw you pause on the bench with your cup in the afternoon,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-04-003-01,A,A,4,3,1,"You kept social contact and quiet time, despite feeling tired",NONE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-04-004-01,A,A,4,4,1,"Next week, aim for a lighter routine and check your energy regularly",CLAIM,UNSUPPORTED,Recommendation,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-04-005-01,A,A,4,5,1,Call your children once midweek,CLAIM,GROUNDED,Recommendation,Call with children: frequency once a week; importance 5/5; fun 4/5; motivation family relationship,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-04-006-01,A,A,4,6,1,That connection matters and lifts your mood,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",Yes,Yes,UNSUPPORTED,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile."
A-A-04-007-01,A,A,4,7,1,Read or watch news and a book,CLAIM,GROUNDED,Recommendation,Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-04-008-01,A,A,4,8,1,They calm you and reduce rumination,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-04-009-01,A,A,4,9,1,Take a short walk or meet a friend twice for movement and fresh air,CLAIM,GROUNDED,Recommendation,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-04-010-01,A,A,4,10,1,"Try the handicraft circle once as a gentle social slot, if it feels appealing",CLAIM,GROUNDED,Recommendation,Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,Yes,Yes,GROUNDED,Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend
A-A-04-011-01,A,A,4,11,1,Alternating days can help,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-04-011-02,A,A,4,11,2,rest links to less stress,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-04-012-01,A,A,4,12,1,Watch fatigue and shorten sessions,CLAIM,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-04-013-01,A,A,4,13,1,"Plan three activity blocks across the week, with one quiet recovery block",CLAIM,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-04-014-01,A,A,4,14,1,"Start Monday with gardening or reading, then pace yourself gently each day",CLAIM,GROUNDED,Recommendation,Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative; Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-04-015-01,A,A,4,15,1,"If alternating days feels strict, mix shorter activities into the same day.",CLAIM,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-05-001-01,A,A,5,1,1,You did a lot this week,NONE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-05-001-02,A,A,5,1,2,that matters,NONE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-05-002-01,A,A,5,2,1,You watered your garden while the morning light warmed your hands and you smelled very fresh soil,PREMISE,GROUNDED,Personal factual assertion,Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-05-003-01,A,A,5,3,1,You also took a slow walk and paused to notice birds,PREMISE,GROUNDED,Personal factual assertion,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-05-004-01,A,A,5,4,1,"Your records show gardening, walks, the handicraft circle, calls, and quiet reading",PREMISE,GROUNDED,Personal factual assertion,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health; Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative; Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing; Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-05-005-01,A,A,5,5,1,"The record says many activities happened once a week, and some happened more often during the week",PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-05-006-01,A,A,5,6,1,You called your children once,PREMISE,GROUNDED,Personal factual assertion,Call with children: frequency once a week; importance 5/5; fun 4/5; motivation family relationship,Exact/profile-linked cue; verify scope and added details.,Yes,Yes,GROUNDED,call with children: frequency once a week; importance 5/5; fun 4/5; motivation family relationship
A-A-05-006-02,A,A,5,6,2,you rated that call very important,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-05-007-01,A,A,5,7,1,Reading and catching up on the news happened several times and helped you stay informed,PREMISE,GROUNDED,Personal factual assertion,Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing,Exact/profile-linked cue; verify scope and added details.,Yes,Yes,GROUNDED,Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing
A-A-05-008-01,A,A,5,8,1,Walks and the handicraft circle gave steady social and physical care,PREMISE,GROUNDED,Personal factual assertion,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health; Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-05-009-01,A,A,5,9,1,Relaxing with TV or a movie gave you rest and simple enjoyment after busy days,PREMISE,GROUNDED,Personal factual assertion,TV or movies: frequency everyday; importance 3/5; fun 3/5; motivation rest/entertainment,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-05-010-01,A,A,5,10,1,"Taken together, these moments make it indeed plausible you did something important last week",CLAIM,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-05-011-01,A,A,5,11,1,The records are in a good position to know,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-05-011-02,A,A,5,11,2,they match what you remember.,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-06-001-01,A,A,6,1,1,"You did more than you realize this week, Kim",NONE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-06-002-01,A,A,6,2,1,You watered the roses and paused to enjoy their scent,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-06-003-01,A,A,6,3,1,You also took a gentle walk and said hello to a neighbor,PREMISE,GROUNDED,Personal factual assertion,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-06-004-01,A,A,6,4,1,Your activity records reliably show these events happened once this week,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-06-005-01,A,A,6,5,1,You called your children,PREMISE,GROUNDED,Personal factual assertion,Call with children: frequency once a week; importance 5/5; fun 4/5; motivation family relationship,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-06-005-02,A,A,6,5,2,you rated that activity importance five stars,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",Yes,Yes,UNSUPPORTED,which activity
A-A-06-006-01,A,A,6,6,1,"You spent quiet time reading news and books, rated importance four",PREMISE,GROUNDED,Personal factual assertion,Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-06-007-01,A,A,6,7,1,You also joined a handicraft circle once during the week with friends,PREMISE,GROUNDED,Personal factual assertion,Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-06-008-01,A,A,6,8,1,The records are consistent and show no clear contradiction,PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-06-009-01,A,A,6,9,1,"Therefore, it is plausible that you did something important last week",CLAIM,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-06-010-01,A,A,6,10,1,"You can notice that caring calls, quiet reading, walks, gardening",PREMISE,GROUNDED,Personal factual assertion,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health; Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative; Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-06-010-02,A,A,6,10,2,"your handicraft time all added value to others and yourself, showing presence, connection, and steady kindness across the week",PREMISE,GROUNDED,Personal factual assertion,Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-06-011-01,A,A,6,11,1,This pattern matters,CLAIM,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,Yes,Yes,NOT_APPLICABLE,No persona-checkable assertion
A-A-06-012-01,A,A,6,12,1,"Those steady small actions build relationships, calm, and personal meaning even when they feel ordinary",PREMISE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-06-012-02,A,A,6,12,2,they remind you of the values you live by each day,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-07-001-01,A,A,7,1,1,"Good work this week, Kim",NONE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-07-002-01,A,A,7,2,1,"You spent a quiet morning tending the garden, planting seedlings, pruning roses, and watering pots by hand",PREMISE,GROUNDED,Personal factual assertion,Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-07-003-01,A,A,7,3,1,"That small scene shows steady care, patience, and attention",NONE,NOT_APPLICABLE,Narrative/rhetorical or general statement,No persona-checkable assertion,No persona-checkable assertion,No,No,,
A-A-07-004-01,A,A,7,4,1,"You kept to activities reflecting values you hold and respect, with steady choices each week",NONE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",Yes,Yes,UNSUPPORTED,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile."
A-A-07-005-01,A,A,7,5,1,"Gardening, daily walks, reading news",NONE,GROUNDED,Personal factual assertion,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health; Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative; Read books or news: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing,Exact/profile-linked cue; verify scope and added details.,Yes,Yes,GROUNDED,"Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative, all are present in persona"
A-A-07-005-02,A,A,7,5,2,"your handicraft circle showed creativity, calm, curiosity, and social engagement",NONE,GROUNDED,Personal factual assertion,Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-07-006-01,A,A,7,6,1,"The weekly call with your children was especially powerful for connection, warmth, and mutual support",PREMISE,GROUNDED,Personal factual assertion,Call with children: frequency once a week; importance 5/5; fun 4/5; motivation family relationship,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-07-007-01,A,A,7,7,1,"Walks with a friend and family member supported your physical health, companionship, and mood",PREMISE,GROUNDED,Personal factual assertion,Go for a walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-07-008-01,A,A,7,8,1,Relaxing with TV and movies felt lighter,PREMISE,GROUNDED,Personal factual assertion,TV or movies: frequency everyday; importance 3/5; fun 3/5; motivation rest/entertainment,Exact/profile-linked cue; verify scope and added details.,No,No,,
A-A-07-008-02,A,A,7,8,2,it helped you recover energy and unwind,PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
A-A-07-009-01,A,A,7,9,1,"These choices mostly promote your goals, though they do not address every possible value or need",PREMISE,UNSUPPORTED,Personal factual assertion,"No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.","No matching activity, preference, relationship, frequency, motive, or experience was found in the matched profile.",No,No,,
