Review ID,Unit ID,Condition,Persona,Story,Atomic text,Human label,Human evidence/reason
F018,C-A-06-004-01,C,A,6,"Even moments of stillness, such as reading a book or listening to music, offer a chance to reflect and recharge.",UNCLEAR,"Read book: frequency a few times per week; importance 4/5; fun 4/5; motivation recovery/emotional wellbeing, listening to music is made up."
F019,C-A-02-008-01,C,A,2,"You might find that these little moments accumulate, creating a brighter outlook.",UNSUPPORTED,no evidence
F020,C-B-05-003-01,C,B,5,"Whether it was a simple walk, a conversation with a friend, or time spent on a favorite hobby, these experiences can shape your sense of fulfillment.Consider how these activities contributed to your overall well-being.",UNSUPPORTED,no evidence
F021,B-D-04-001-01,B,B,4,"You have a wonderful variety of activities that balance physical movement, social connections, and personal enjoyment.",UNSUPPORTED,no evidence to prove or support this claim
F022,C-B-01-005-01,C,B,1,"Engaging with others, whether through a phone call or a visit, can also brighten your days.",UNSUPPORTED,not in persona
F023,B-E-08-006-01,B,D,8,"Additionally, the moments you’ve spent socializing at cafes and playing board games or computer games with your partner have enriched your week, adding joy and connection to your life.",GROUNDED,"café: frequency once a week; importance 4/5; fun 4/5; companion friend, computer/ board games: frequency once a week; importance 4/5; fun 4/5"
F024,B-A-03-001-01,B,C,3,"You have a wonderful mix of activities that support your physical, social, and emotional wellbeing.",UNSUPPORTED,no evidence
F025,A-A-05-006-01,A,A,5,You called your children once,GROUNDED,call with children: frequency once a week; importance 5/5; fun 4/5; motivation family relationship
F026,A-C-02-009-01,A,C,2,Schedule a video call with your sister,GROUNDED,"Video call with sister: frequency once a week; importance 4/5; fun 4/5; companion extended family, "
F027,C-A-03-002-01,C,A,3,Each day can be a chance to listen to your body and give it what it needs.,NOT_APPLICABLE,judgement
F028,A-C-05-004-01,A,C,5,"Daily reading brought comfort and steady mental stimulation every morning, as you read novels most days",GROUNDED,reading novels: frequency everyday; importance 5/5; fun 5/5; motivation recovery/emotional wellbeing
F029,B-D-06-004-01,B,B,6,"Additionally, playing with your grandchildren highlights the joy and love you share with them.",GROUNDED,play with grandchildren: frequency every other week; importance 5/5; fun 5/5; motivation family/energy
F030,B-B-07-003-01,B,E,7,"Additionally, your participation in group aerobics and community organization shows your willingness to connect with others while having fun.",GROUNDED,"Group aerobics: frequency a few times per week; importance 4/5; fun 5/5; motivation fun/energy/social contact, Local community: frequency once a week; importance 4/5; fun 4/5; motivation social/community contribution"
F031,A-A-07-005-01,A,A,7,"Gardening, daily walks, reading news",GROUNDED,"Gardening: frequency once a week; importance 3/5; fun 4/5; motivation health/inspiration/meditative, all are present in persona"
F032,B-C-04-001-01,B,A,4,"You have a lovely mix of activities in your week, balancing social connections, physical movement, and opportunities for relaxation.",UNSUPPORTED,no matching activity in persona
F033,B-D-01-007-01,B,B,1,"Additionally, reaching out to your mother through phone calls or visits can strengthen your bond and bring warmth to your week.",UNSUPPORTED,no evidence in persona
F034,A-E-03-001-01,A,E,3,"Kim, you have been steady, caring, and patient this week",GROUNDED,Meditate: frequency a few times per week; importance 4/5; fun 3/5; motivation recovery/emotional wellbeing
F035,B-D-03-001-01,B,B,3,"You have a wonderful mix of activities that support your physical health, social connections, and personal recovery.",UNSUPPORTED,not in persona
F036,A-E-02-011-01,A,E,2,Spend short time outdoors and with grandchildren when you feel rested,GROUNDED,"spend time in nature: frequency everyday; importance 4/5; fun 3/5; motivation recovery/emotional wellbeing, also spend time with grandchildren is present"
F037,B-A-07-006-02,B,C,7,your weekly video call with your sister has strengthened your family bonds.,GROUNDED,video call with sister: frequency once a week; importance 4/5; fun 4/5; companion extended family
F038,A-C-01-008-01,A,C,1,Arrange one video call with your sister midweek,GROUNDED,same as above
F039,A-E-06-012-01,A,E,6,"That matters for you and for those you support, like your grandchildren.",GROUNDED,care for grandchildren
F040,B-C-01-006-01,B,A,1,Don’t forget to make time for your calls with your children,GROUNDED,call with children: frequency once a week; importance 5/5; fun 4/5; motivation family relationship
F041,C-D-06-002-01,C,D,6,"These moments can hold meaning, shaping how you feel and connecting you to the world around you.",UNSUPPORTED,too flowery with no evidence
F042,C-A-01-002-01,C,A,1,Each day offers a chance to embrace simple pleasures and connect with the world around you.,UNSUPPORTED,no evidence
F043,A-D-07-001-01,A,D,7,"Kim, you did well this week caring for your health and relationships",UNSUPPORTED,no activities specified 
F044,C-B-08-001-01,C,B,8,Reflecting on the past week can bring clarity to your activities and intentions.,NOT_APPLICABLE,judgement
F045,A-A-04-010-01,A,A,4,"Try the handicraft circle once as a gentle social slot, if it feels appealing",GROUNDED,Handicraft circle: frequency every other week; importance 3/5; fun 4/5; companion friend
F046,B-B-05-009-01,B,E,5,"Your efforts to stay active, connect with loved ones, and participate in your community are commendable.",UNSUPPORTED,which efforts not mentioned in persona
F047,B-B-08-009-01,B,E,8,"Your efforts are making a meaningful impact, and every small step you take is a testament to your commitment to a happy, fulfilling life.",UNSUPPORTED,again same as above
F048,C-C-04-007-01,C,C,4,"Embracing this balance can lead to brighter moments each day, encouraging a deeper connection to yourself and your surroundings.",NOT_APPLICABLE,too flowery with no evidence
F049,B-D-05-007-01,B,B,5,Your weekly visits to your mother and daily dinners with your partner show how much you value your relationships.,GROUNDED,"visit mother: frequency once a week; importance 5/5; fun 3/5; motivation family/help mother, daily dinner with partner also present in the persona"
F050,A-B-04-002-01,A,B,4,"You cycled to the store and had dinner with your partner nightly, and rested",GROUNDED,"Cycle to the store: frequency a few times per week; importance 4/5; fun 3/5; motivation health/energy/social contact, dinner: frequency everyday; importance 5/5; fun 4/5; motivation family relationship"
F051,C-D-07-005-01,C,D,7,"Sometimes, the outcomes may not match our expectations",NOT_APPLICABLE,Generic advice
F052,A-A-03-008-01,A,A,3,Spacing effort protects energy and reduces stress,UNSUPPORTED,no activities specified 
F053,C-C-06-008-01,C,C,6,Recognizing these moments can guide you in choosing future activities that resonate with you.,UNSUPPORTED,no supporting activity in persona
F054,A-B-08-008-02,A,B,8,"it still supported health goals and matched deeper values, even if no single action suffices",NOT_APPLICABLE,not verifiable
F055,A-B-03-006-01,A,B,3,They steady your mood and comfort you,UNSUPPORTED,no evidence
F056,B-A-02-006-01,B,C,2,"Make an effort to listen to music every other day, allowing those melodies to uplift you.",GROUNDED,matches persona
F057,C-C-03-003-01,C,C,3,Each day presents an opportunity to engage in gentle activities while also allowing for moments of relaxation.,UNSUPPORTED,no evidence
F058,C-E-08-009-01,C,E,8,Perhaps there are ways to prioritize activities that bring you happiness or comfort.,UNSUPPORTED,no matching activity in persona
F059,A-D-02-009-01,A,D,2,Share a board game or computer game night with your partner weekly,GROUNDED,matches persona
F060,B-D-07-002-01,B,B,7,"From cycling to the store to enjoying dinners with your partner, you have been balancing physical, social, and recovery activities in your life.",GROUNDED,matches persona
F061,B-E-06-011-01,B,D,6,"Keep nurturing these habits, as they play a crucial role in your journey towards recovery and overall happiness.",UNSUPPORTED,no activities specified 
F062,C-A-08-010-01,C,A,8,Reflecting on whether your intentions were fulfilled can guide you in planning future activities.,UNSUPPORTED,not in persona
F063,C-E-02-009-01,C,E,2,"Remember, even simple changes can brighten your days and enrich your life.",UNSUPPORTED,no evidence
F064,A-C-06-005-01,A,C,6,You completed exercise sessions and gentle stretching several times this week,GROUNDED,fits persona
F065,C-C-02-005-01,C,C,2,Perhaps a stroll in the fresh air can awaken your senses and lift your spirits.,UNSUPPORTED,flowery english
F066,C-E-04-006-01,C,E,4,"This balance of activity and relaxation can help you feel centered and refreshed.As the week unfolds, take time to reflect on how this gentle approach feels.",NOT_APPLICABLE,not relevant
F067,A-C-03-004-01,A,C,3,"For next week, adopt a lighter routine with more spacing and rest",NOT_APPLICABLE,not verifiable
F068,B-B-06-006-01,B,E,6,"Caring for your grandchildren every day is a beautiful expression of love and support, creating lasting memories for both you and them.",GROUNDED,activities match persona
F069,A-C-07-004-01,A,C,7,You kept to your exercise program several times this week and noticed more stamina,GROUNDED,activities match persona
F070,C-E-06-004-01,C,E,6,"Whether it was tending to a garden, sharing a meal with someone special, or enjoying a quiet moment with a book, each experience adds value to your life.",UNSUPPORTED,no matching activity in persona
F071,C-D-01-008-01,C,D,1,"Connecting with others, even through a phone call or a letter, can strengthen bonds and bring warmth to your days.As the week unfolds, take a moment each evening to reflect on what brought you happiness.",NOT_APPLICABLE,too long
F072,C-E-01-007-01,C,E,1,Reflect on what makes you feel good and how you can incorporate those elements into your routine.,UNSUPPORTED,Generic advice
F073,A-E-07-004-01,A,E,7,You showed care for family and the local community every single day,GROUNDED,Local community: frequency once a week; importance 4/5; fun 4/5; motivation social/community contribution
F074,C-C-08-003-01,C,C,8,"Taking a moment to think back can deepen your appreciation for the time spent.Many people approach their week with intentions, whether to stay active, connect with others, or find moments of joy.",NOT_APPLICABLE,too long
F075,B-B-02-007-01,B,E,2,You might also want to include a session of group aerobics to keep your body active,GROUNDED,activity matches the persona
F076,A-E-05-003-01,A,E,5,You showed patience with grandchildren and took quiet moments in nearby nature,GROUNDED,activities match persona
F077,B-C-06-006-01,B,A,6,"Relaxing with a book or watching a movie provides recovery time, which is essential.",GROUNDED,activities match persona
F078,C-A-05-006-01,C,A,5,"Even small moments, like enjoying a cup of tea while watching the world go by, can hold significance.",UNSUPPORTED,not matching persona
F079,C-A-04-004-01,C,A,4,These moments can invigorate you and lift your spirits.,UNSUPPORTED,Generic advice
F080,A-D-05-007-01,A,D,5,"You visited a cafe or restaurant and played games with your partner, enjoying company",GROUNDED,visit café: frequency once a week; importance 4/5; fun 4/5; companion friend
F081,B-B-01-003-01,B,E,1,"Engaging in group aerobics and participating in a local community organization adds variety and fun to your routine, while meditation and spending time in nature provide essential moments of recovery and peace.",GROUNDED,"Group aerobics: frequency a few times per week; importance 4/5; fun 5/5; motivation fun/energy/social contact, Local community: frequency once a week; importance 4/5; fun 4/5; motivation social/community contribution"
F082,B-E-04-002-02,B,D,4,your short outdoor walks add a refreshing touch to your routine.,GROUNDED,activity matches the persona
F083,B-E-01-005-01,B,D,1,"You might also enjoy your weekly cafe outing with a friend, which can uplift your spirits and provide a lovely change of scenery.",GROUNDED,café: frequency once a week; importance 4/5; fun 4/5; companion friend
F084,C-C-05-009-01,C,C,5,Embracing meaningful moments can enrich your life and help you stay connected to what you value most.,NOT_APPLICABLE,Generic advice
F085,C-B-06-003-01,C,B,6,"This past week may have offered opportunities to connect with others, enjoy nature, or simply indulge in a favorite hobby—each valuable in its own right.Many simple activities can bring joy and a sense of purpose.",NOT_APPLICABLE,"no specific activity , flowery"
F086,B-A-05-004-01,B,C,5,"Connecting with your sister through video calls and participating in the art study circle also enriches your social life, providing valuable moments of joy and connection.",GROUNDED,matches persona
F087,B-D-02-010-01,B,B,2,"As you plan your week, remember that balance is key.",NOT_APPLICABLE,Generic advice
F088,C-B-03-005-01,C,B,3,Remember to pace yourself,NOT_APPLICABLE,Generic advice
F089,A-C-08-006-02,A,C,8,"you rated it slightly lower, yet it lifted your mood",UNSUPPORTED,no evidence
F090,A-A-06-005-02,A,A,6,you rated that activity importance five stars,UNSUPPORTED,which activity
F091,B-E-05-004-01,B,D,5,"Reflecting on the past week, you have indeed done something important.",UNSUPPORTED,no matching activity in persona
F092,B-A-06-003-01,B,C,6,"Meanwhile, reading novels allows you to escape into different worlds, and listening to music brings joy to your routine, creating a balanced lifestyle filled with recovery and enrichment.",GROUNDED,activities match persona
F093,B-E-03-010-01,B,D,3,"Embrace the activities that bring you joy and connection, as they are essential for your recovery journey.",UNSUPPORTED,no matching activity in persona
F094,C-E-05-008-01,C,E,5,"Moving forward, you might choose to prioritize those activities that bring you joy and connection, enhancing your daily life.",UNSUPPORTED,made up
F095,C-D-04-002-01,C,D,4,Each day is an opportunity to explore how movement and rest can work together to support your wellbeing.,UNSUPPORTED,"exageration, no activity"
F096,C-A-07-006-01,C,A,7,Each experience contributes to your overall sense of fulfillment.,UNSUPPORTED,no activities specified 
F097,B-B-04-011-01,B,E,4,"You deserve this time for yourself, so embrace the journey of nurturing your mind and spirit.",UNSUPPORTED,"flattery, no activity"
F098,A-E-01-016-02,A,E,1,adjust as needed.,NOT_APPLICABLE,Generic advice
F099,C-C-01-004-01,C,C,1,The fresh air and sunlight can lift your spirits and energize you for the day.,UNSUPPORTED,no activities specified 
F100,A-D-04-005-01,A,D,4,"On active days, do rehab exercises, short walks, and a cafe visit",GROUNDED,"short walk: frequency a few times per week; importance 4/5; fun 3/5; motivation health/energy, rehab: frequency everyday; importance 5/5; fun 2/5; motivation health/pain , reduction/outcome, café: frequency once a week; importance 4/5; fun 4/5; companion friend"
F101,A-C-04-001-02,A,C,4,that shows steady care,NOT_APPLICABLE,Generic advice
F102,A-B-06-001-01,A,B,6,You kept showing up for people and for yourself this week,UNSUPPORTED,no matching activity in persona
F103,A-D-01-016-01,A,D,1,"You are making wise choices, Kim, and next week can feel happier and more energizing.",UNSUPPORTED,no evidence
F104,B-C-08-004-01,B,A,8,"Over the past week, you've really fulfilled your social and personal motives.",UNSUPPORTED,no activities specified 
F105,B-A-01-007-01,B,C,1,"Lastly, look forward to your weekly video call with your sister, as these moments can bring warmth and laughter to your week.",GROUNDED,video call with sister present in persona
F106,A-D-08-008-01,A,D,8,You rated rehab exercises less fun,GROUNDED,Rehab: frequency everyday; importance 5/5; fun 2/5; motivation health/pain reduction/outcome
F107,A-B-02-011-01,A,B,2,Play with your grandchildren briefly,GROUNDED,play with grandchildren: frequency every other week; importance 5/5; fun 5/5; motivation family/energy
F108,A-B-05-006-02,A,B,5,you had daily dinners that brought routine,UNSUPPORTED,no matching activity in persona
F109,A-A-02-006-01,A,A,2,Gentle movement and sunlight boost mood,GROUNDED,walk: frequency everyday; importance 4/5; fun 3/5; motivation physical health
F110,C-E-07-009-01,C,E,7,Embrace this reflection as a way to nurture your interests and make choices that bring you happiness in the days ahead.,UNSUPPORTED,no matching activity in persona
F111,B-C-02-008-01,B,A,2,"Additionally, make sure to connect with your children and friends through calls or your handicraft circle.",GROUNDED,activities match persona
F112,B-C-03-004-01,B,A,3,It’s clear that you value both connection and personal time.,UNSUPPORTED,no matching activity in persona
F113,B-E-02-005-01,B,D,2,"Try to include your short outdoor walks a few times, as being in nature can uplift your spirits.",GROUNDED,activity matches the persona
F114,A-B-07-009-02,A,B,7,they are not the only way to live your values,UNSUPPORTED,no matching activity in persona
F115,B-C-07-011-01,B,A,7,Keep it up!,NOT_APPLICABLE,Generic advice
F116,C-B-04-004-01,C,B,4,"After your activity, take time to rest and reflect.",UNSUPPORTED,no matching activity in persona
F117,C-D-08-006-01,C,D,8,"Assessing your experiences can help clarify what truly enriches your days and what might require more attention moving forward.In closing, take a moment to acknowledge your efforts and the satisfaction gained from activities that resonate with you.",UNSUPPORTED,too flowery with no evidence
F118,A-E-04-013-01,A,E,4,Plan: alternate your valued activities and keep one quiet recovery day midweek,UNSUPPORTED,no matching activity in persona
F119,C-B-02-002-01,C,B,2,Each day offers a chance to embrace activities that uplift your spirit.,UNSUPPORTED,persona has no such activities mentioned
F120,C-D-03-007-01,C,D,3,"This balance can help you feel more refreshed and engaged.As the week progresses, take a moment to reflect on how this balance affects your mood and energy levels.",UNSUPPORTED,no activities specified 
