persona,story,segment,text,gold_label,target_position,predicted_label
C,7,3,"That steady care shows in small, consistent choices every day",NONE,3,CLAIM
C,7,6,Music came on every other day and helped shifts in your mood,PREMISE,6,NONE
C,7,8,"These actions reflect your values of health, lifelong learning, creativity, and belonging, and they confirm your priorities",PREMISE,8,CLAIM
C,7,9,"They promote your goals, though they are not the only steps and sometimes compete with needed rest",PREMISE,9,CLAIM
C,8,1,"You did well this week, Kim",NONE,1,CLAIM
C,8,2,You sat by the window reading after a gentle morning stretch,PREMISE,2,NONE
C,8,3,"You chose several small, steady actions that matched your values",PREMISE,3,CLAIM
C,8,8,"Overall, these activities feel genuine, align with your values, and helped your goals this month",PREMISE,8,CLAIM
C,8,9,"They generally have no clear conflicts with other important values, though some goals might need added focus or different supports",PREMISE,9,CLAIM
D,1,1,You have been steady with your rehab exercises by the kitchen window each morning,NONE,1,PREMISE
D,1,3,That steady care shows kindness and clear effort toward your wellbeing,NONE,3,CLAIM
D,1,8,"Fresh air gently raises energy and clarity, then rest with a heat pack",PREMISE,8,CLAIM
D,1,11,Shared meals feel rewarding,PREMISE,11,CLAIM
D,1,16,"You are making wise choices, Kim, and next week can feel happier and more energizing.",NONE,16,CLAIM
D,2,2,"This morning you did exercises, then eased into a warm heat pack",PREMISE,2,NONE
D,2,8,Company matters,PREMISE,8,CLAIM
D,3,1,"You have kept up with hard days, and that matters a lot",NONE,1,CLAIM
D,3,2,Yesterday you sat at the kitchen table with your heat pack again,PREMISE,2,NONE
D,3,3,You completed rehab exercises most days this week and kept going well,PREMISE,3,NONE
D,3,6,They matter,PREMISE,6,CLAIM
D,3,13,You are doing well and can also adjust this plan anytime if needed.,NONE,13,CLAIM
D,4,2,I noticed you managed rehab exercises and short walks after breakfast today,PREMISE,2,NONE
D,4,3,You sit with a heat pack in the living room each day,PREMISE,3,NONE
D,4,12,"You can follow this plan gently, with patience, and you will recover better soon.",PREMISE,12,CLAIM
D,5,1,"You did well this week, Kim",NONE,1,CLAIM
D,5,2,You eased into the morning after a short walk with tea,PREMISE,2,NONE
D,5,5,You also took short outdoor walks each day for fresh air and balance,PREMISE,5,NONE
D,5,6,"You watched sports and rested with a heat pack daily, which soothed your muscles",PREMISE,6,NONE
D,5,7,"You visited a cafe or restaurant and played games with your partner, enjoying company",PREMISE,7,NONE
D,5,12,"That matters, and you can feel quietly proud of your steady effort.",NONE,12,CLAIM
D,6,1,"You kept a steady routine this week, and that mattered a lot",NONE,1,CLAIM
D,6,3,"These daily habits reflected persistence, patience, and steady self-care all week, Kim",NONE,3,CLAIM
D,6,5,"You did rehab exercises, less fun but essential, and short walks",PREMISE,5,NONE
D,6,6,"You rested with a heat pack each day to ease discomfort, relax",PREMISE,6,NONE
D,6,7,You went to a cafe and shared games with your partner together,PREMISE,7,NONE
D,6,8,"Rehab exercises felt less fun, yet they clearly supported your recovery progress",PREMISE,8,CLAIM
D,6,11,You can reasonably trust the activity records as a useful guide now,PREMISE,11,CLAIM
D,7,1,"Kim, you did well this week caring for your health and relationships",NONE,1,CLAIM
D,7,2,You sat with a heat pack after a short afternoon walk around the block,PREMISE,2,NONE
D,7,3,Those quiet moments show steady attention and gentle determination to recovery,NONE,3,CLAIM
D,7,11,"They promote health, comfort, and companionship in practical, steady ways in everyday life",CLAIM,11,PREMISE
D,8,1,"Well done, Kim; you met your goals this week with steady focus",NONE,1,CLAIM
D,8,3,You smiled while sharing a game and a warm drink with them,NONE,3,PREMISE
E,1,3,"That steady care shows your strength and gentle commitment, and it matters",NONE,3,CLAIM
E,2,2,You feel stronger after class and calmer after meditation most days,NONE,2,PREMISE
E,2,3,You care deeply for your family and for your community and enjoy helping locally,NONE,3,PREMISE
E,3,2,"You kept up classes, walks, meditation, community meetings, nature time, and grandchild care daily",NONE,2,PREMISE
E,3,3,"You show real commitment to movement, family, and community",NONE,3,CLAIM
E,3,9,Alternating may not be enough alone,PREMISE,9,CLAIM
E,4,3,"You did many activities every day last week, so please rest well",NONE,3,CLAIM
E,4,10,That routine may be sufficient and is supported by pacing principles,PREMISE,10,CLAIM
E,5,1,"You stayed active and caring all week, and that truly matters to your family",NONE,1,CLAIM
E,5,3,You showed patience with grandchildren and took quiet moments in nearby nature,NONE,3,PREMISE
E,5,7,"These activities show steady effort, kindness, and strong ties to people around you",PREMISE,7,CLAIM
E,6,1,"You did a lot this week, and that truly matters to your family",NONE,1,CLAIM
E,6,6,"Group aerobics, caring for grandchildren, and your community work brought real connection and clear purpose",PREMISE,6,CLAIM
E,7,1,"Well done this week, Kim",NONE,1,CLAIM
E,7,3,"You kept showing up for group classes, daily walks, meditation, nature, and family time together",NONE,3,PREMISE
E,7,9,"Overall, these activities genuinely reflected your values and directly advanced your goals without creating clear conflicts or major trade-offs",PREMISE,9,CLAIM
E,8,1,You kept showing up for things that matter this week,NONE,1,CLAIM
E,8,9,"Overall these actions genuinely realize your stated values, though no single activity is necessary or sufficient alone, and small trade-offs occurred",PREMISE,9,CLAIM
