persona,story,segment,text,gold_label,target_position,predicted_label
B,2,3,"Group aerobics and spending time in nature add both physical movement and relaxation, making your routines well-rounded and fulfilling.",CLAIM,3,PREMISE
B,2,4,These activities reflect your commitment to your health and happiness.,NONE,4,CLAIM
B,2,6,These activities are highly important and bring you great joy.,PREMISE,6,CLAIM
B,2,12,Embrace the opportunities to nurture yourself and those around you.,NONE,12,CLAIM
B,3,2,Your daily walks and caring for your grandchildren not only keep you active but also bring joy and connection to your life.,CLAIM,2,PREMISE
B,3,3,"Engaging in group aerobics and participating in a local community organization adds variety and fun to your routine, while meditation and spending time in nature help you recharge.",CLAIM,3,PREMISE
B,3,11,Embrace this week as an opportunity to nurture yourself and enjoy the connections that bring you joy.,NONE,11,CLAIM
B,4,1,You have a wonderful variety of activities that bring joy and connection to your life.,NONE,1,CLAIM
B,4,10,"By incorporating these mindful practices, you can enhance your wellbeing and create a more balanced, fulfilling week ahead.",PREMISE,10,CLAIM
B,5,1,You have been actively engaging in a variety of meaningful activities that contribute to your wellbeing.,PREMISE,1,CLAIM
B,5,3,"Additionally, your participation in group aerobics and community organization highlights your desire to stay active and involved in your local community.",NONE,3,CLAIM
B,5,4,"Reflecting on the past week, you certainly did something important.",NONE,4,CLAIM
B,5,6,"Your daily walks and group aerobics sessions contribute significantly to your physical health, while your meditation practice offers moments of recovery and calm.",CLAIM,6,PREMISE
B,5,7,Each of these activities plays a vital role in your overall wellbeing.,PREMISE,7,CLAIM
B,5,9,"Your efforts to stay active, connect with loved ones, and participate in your community are commendable.",NONE,9,CLAIM
B,6,1,"You have been engaged in a variety of meaningful activities this past week, demonstrating a wonderful balance between physical, social, and recovery-focused pursuits.",NONE,1,CLAIM
B,6,2,Your commitment to daily walks and caring for your grandchildren shows how you prioritize both your health and your loved ones.,NONE,2,CLAIM
B,6,3,Participating in group aerobics and spending time in nature also highlight your dedication to staying active and connected to the world around you.,NONE,3,CLAIM
B,6,4,"Reflecting on your week, it’s clear that you have indeed done something important.",NONE,4,CLAIM
B,6,5,Your daily walks and regular group aerobics not only help maintain your physical well-being but also bring joy and vitality to your routine.,NONE,5,PREMISE
B,6,6,"Caring for your grandchildren every day is a beautiful expression of love and support, creating lasting memories for both you and them.",NONE,6,CLAIM
B,6,10,Your efforts to connect with both yourself and others are commendable and essential to living a fulfilling life.,NONE,10,CLAIM
B,7,3,"Additionally, your participation in group aerobics and community organization shows your willingness to connect with others while having fun.",NONE,3,CLAIM
B,7,4,"Reflecting on the past week, you have successfully balanced your physical and social needs.",NONE,4,CLAIM
B,7,7,"Engaging in group aerobics and community activities has provided you with opportunities to meet new friends and share experiences, enhancing your sense of belonging.",CLAIM,7,PREMISE
B,7,9,Your efforts in maintaining a healthy lifestyle and nurturing relationships are commendable.,NONE,9,CLAIM
B,8,2,"Your commitment to group aerobics and daily walks reflects your dedication to staying physically active, while caring for your grandchildren adds a delightful social dimension to your day.",NONE,2,CLAIM
B,8,4,"Reflecting on the past week, you have embraced a balanced routine that fulfills your motives for health and connection.",NONE,4,CLAIM
B,8,5,"Your few sessions of meditation offered you moments of calm and reflection, allowing you to recharge.",CLAIM,5,NONE
B,8,7,"Each interaction with your grandchildren brought joy and fulfillment, reinforcing the importance of family and social ties in your life.",NONE,7,CLAIM
B,8,8,"As you continue on this path, remember that each activity you engage in not only serves your well-being but also brings light to those around you.",NONE,8,CLAIM
B,8,9,"Your efforts are making a meaningful impact, and every small step you take is a testament to your commitment to a happy, fulfilling life.",NONE,9,CLAIM
B,8,10,Keep nurturing yourself; you are doing wonderfully.,NONE,10,CLAIM
C,1,1,You have a wonderful mix of activities that bring joy and fulfillment to your life.,NONE,1,CLAIM
C,1,2,"Gardening, walking, and spending time with family and friends all contribute to your physical and emotional well-being.",CLAIM,2,PREMISE
C,1,3,"Each of these activities not only keeps you active but also connects you with the world around you, which is so important.",NONE,3,PREMISE
C,1,10,"Embrace the moments of joy and connection, and know that you are nurturing both your body and spirit.",NONE,10,CLAIM
C,1,11,You have the power to create a fulfilling week ahead.,NONE,11,CLAIM
C,2,1,You have a lovely blend of activities that not only keep you active but also bring joy and connection to your life.,NONE,1,CLAIM
C,2,3,"Each of these activities carries its own unique benefits, helping you to feel fulfilled and engaged in your daily routine.",NONE,3,PREMISE
C,2,11,"Embrace the moments you create, knowing they bring joy and meaning to your life.",NONE,11,CLAIM
C,2,12,"You are taking steps towards a happy week, and I believe you will find fulfillment in each experience.",NONE,12,CLAIM
C,3,1,You have a wonderful variety of activities that bring joy and balance to your life.,NONE,1,CLAIM
C,3,4,It’s clear that you value both connection and personal time.,NONE,4,CLAIM
C,3,6,"Since you find it both enjoyable and important, perhaps you could set aside a little more time for this activity.",PREMISE,6,CLAIM
C,3,9,"Remember, the goal is to nurture yourself and find joy in your activities.",PREMISE,9,CLAIM
C,3,10,Each small step you take towards recovery can lead to a more fulfilling week.,NONE,10,CLAIM
C,3,11,"Embrace the moments that bring you peace and connection, and know that you are doing wonderfully.",NONE,11,CLAIM
C,4,1,"You have a lovely mix of activities in your week, balancing social connections, physical movement, and opportunities for relaxation.",NONE,1,CLAIM
C,4,2,"Your gardening and daily walks provide you with a wonderful way to stay active, while also giving you moments to enjoy nature.",PREMISE,2,CLAIM
C,4,9,Focusing on these recovery activities can help you feel more balanced and energized.,PREMISE,9,CLAIM
C,4,10,"You are creating a life filled with meaning and enjoyment, and each step you take towards self-care is a step in the right direction.",NONE,10,CLAIM
C,5,1,You have been engaging in a variety of activities that contribute positively to your wellbeing.,NONE,1,CLAIM
C,5,2,"Your gardening brings you joy and helps you stay active, while your daily walks keep you physically fit.",CLAIM,2,PREMISE
C,5,3,Relaxing with a good book or watching your favorite shows provides you with much-needed recovery time.,PREMISE,3,CLAIM
C,5,5,"Reflecting on the past week, you have indeed done something important.",NONE,5,CLAIM
C,5,6,"You made time for your gardening, which not only nurtures your plants but also your spirit.",PREMISE,6,CLAIM
C,5,7,Your daily walks and moments of relaxation have helped you maintain a balanced routine.,PREMISE,7,CLAIM
C,5,8,"Additionally, your calls with your children and walks with friends foster strong connections, reminding you of the love and support in your life.",NONE,8,PREMISE
C,5,9,"Each of these activities holds significance, contributing to your overall happiness and health.",NONE,9,CLAIM
C,5,10,"As you continue to engage in these fulfilling activities, remember that each small step you take is meaningful.",NONE,10,CLAIM
C,5,11,"Your commitment to staying active, nurturing relationships, and allowing yourself time to relax is commendable.",NONE,11,CLAIM
C,5,12,"Keep embracing these moments, as they are essential for your wellbeing and bring purpose to your days.",NONE,12,CLAIM
C,6,1,You have engaged in a variety of meaningful activities over the past week that contribute to your wellbeing.,NONE,1,CLAIM
C,6,2,"Your commitment to gardening, going for daily walks, and connecting with family through calls or visits shows a balanced approach to physical health, social interaction, and personal enjoyment.",NONE,2,CLAIM
C,6,3,Each of these activities plays an important role in your overall wellbeing.,NONE,3,CLAIM
C,6,4,"Reflecting on your week, you can indeed recognize the importance of what you have done.",NONE,4,CLAIM
C,6,5,Your daily walks not only keep you active but also offer time for reflection and enjoyment of your surroundings.,CLAIM,5,PREMISE
C,6,8,Each of these moments reflects the importance of connection and care in your life.,NONE,8,CLAIM
C,6,9,"As you look back, remember that every small step counts.",NONE,9,CLAIM
C,6,10,Your activities not only nurture your physical health but also nourish your spirit and relationships.,NONE,10,CLAIM
C,6,12,Your choices reflect a wonderful commitment to living well.,NONE,12,CLAIM
C,7,1,You have been engaging in a variety of activities that contribute positively to your wellbeing.,PREMISE,1,CLAIM
C,7,2,"From gardening and daily walks to relaxing with a good book or watching TV, you are balancing physical, social, and recovery activities in a meaningful way.",NONE,2,CLAIM
C,7,3,"Your commitment to connecting with family and friends through calls and walks shows the importance you place on social interactions, which enrich your life.",NONE,3,CLAIM
C,7,4,"Reflecting on the past week, you have successfully fulfilled your motives by participating in these activities.",NONE,4,CLAIM
C,7,6,"Your daily walks have kept you active, while your time spent reading and watching shows offered you moments of relaxation.",CLAIM,6,PREMISE
C,7,7,"Additionally, your calls with your children and walks with friends have strengthened your social connections, making you feel valued and supported.",NONE,7,CLAIM
C,7,9,Embrace the joy they bring and the connections you nurture.,NONE,9,CLAIM
C,7,10,"You are doing wonderfully, and your efforts are making a positive difference in your life.",NONE,10,CLAIM
C,7,11,Keep it up!,NONE,11,CLAIM
C,8,3,"Watching TV and reading offer you moments of calm, allowing you to unwind and stay connected with the world.",NONE,3,CLAIM
C,8,4,"Over the past week, you've really fulfilled your social and personal motives.",NONE,4,CLAIM
C,8,6,Your weekly walk with a friend or family member has not only provided companionship but also a chance for shared moments that uplift your spirits.,CLAIM,6,PREMISE
C,8,8,"Reflecting on your activities, it’s clear that you are creating a rich tapestry of experiences that contribute to your well-being.",NONE,8,CLAIM
C,8,9,Each activity you choose adds purpose and meaning to your days.,NONE,9,CLAIM
C,8,10,"Keep embracing these moments, as they are essential for a fulfilling and healthy life.",NONE,10,CLAIM
D,1,1,You have a wonderful mix of activities that bring joy and connection to your life.,NONE,1,CLAIM
D,1,2,"Your commitment to cycling, spending time with family, and engaging in social interactions shows how much you value both your physical health and your relationships.",NONE,2,CLAIM
D,1,3,"Each of these activities contributes to your overall wellbeing, making your days richer and more fulfilling.",NONE,3,CLAIM
D,1,7,"Additionally, reaching out to your mother through phone calls or visits can strengthen your bond and bring warmth to your week.",PREMISE,7,CLAIM
D,1,8,"Playing with your grandchildren, even if it’s just once, will surely fill your heart with happiness.",NONE,8,CLAIM
D,1,9,Reflect on how these activities not only enhance your wellbeing but also create meaningful moments in your life.,NONE,9,CLAIM
D,2,1,You have a wonderful range of activities that bring joy and connection to your life.,NONE,1,CLAIM
D,2,2,"From cycling to the store to enjoying dinners with your partner, these moments matter.",NONE,2,CLAIM
D,2,3,"You also engage in meaningful social activities, like visiting your mother and playing with your grandchildren.",PREMISE,3,NONE
D,2,4,Each of these activities enriches your life in different ways.,NONE,4,CLAIM
D,2,6,You could increase your cycling trips since it combines physical exercise with a bit of fun.,PREMISE,6,CLAIM
D,2,8,"Since you enjoy playing with your grandchildren, see if you can arrange another visit with them next week.",PREMISE,8,CLAIM
D,2,11,All these activities not only contribute to your wellbeing but also reflect your values of connection and joy.,NONE,11,CLAIM
D,2,12,"Embrace each moment, and you will create a fulfilling week ahead!",NONE,12,CLAIM
D,3,1,"You have a wonderful mix of activities that support your physical health, social connections, and personal recovery.",NONE,1,CLAIM
D,3,2,"Cycling to the store and exercising at the gym show your commitment to staying active, while your daily dinners with your partner and regular visits with your mother highlight the importance of nurturing relationships.",NONE,2,CLAIM
D,3,3,Listening to podcasts and spending time with your grandchildren also add joy and relaxation to your routine.,NONE,3,PREMISE
D,3,8,"Remember, the goal is to create a balance that feels fulfilling and rejuvenating.",NONE,8,CLAIM
D,3,10,"You are doing great, and small adjustments can lead to a more enriching week ahead.",NONE,10,CLAIM
D,4,1,"You have a wonderful variety of activities that balance physical movement, social connections, and personal enjoyment.",NONE,1,CLAIM
D,4,2,"Cycling to the store and gym workouts keep you active, while listening to podcasts and having dinner with your partner offer relaxation and connection.",CLAIM,2,PREMISE
D,4,3,"Your visits and conversations with family enrich your life, and spending time with your grandchildren brings joy.",PREMISE,3,CLAIM
D,4,8,"You could also set a specific time to play with your grandchildren, as this brings you immense joy and laughter.",PREMISE,8,CLAIM
D,5,1,You have been engaging in a variety of meaningful activities that contribute to your overall wellbeing.,NONE,1,CLAIM
D,5,5,"Reflecting on your past week, you certainly did something important.",NONE,5,CLAIM
D,5,7,Your weekly visits to your mother and daily dinners with your partner show how much you value your relationships.,NONE,7,CLAIM
D,5,8,These moments are significant and contribute to your emotional and social wellbeing.,NONE,8,CLAIM
D,5,9,"As you continue to engage in these activities, remember that they bring purpose and joy to your life.",NONE,9,CLAIM
D,5,10,Each connection you make and every effort you put into your health matters.,NONE,10,CLAIM
D,5,11,"Keep embracing these moments, as they enrich your life and the lives of those around you.",NONE,11,CLAIM
D,6,1,You have been actively engaged in a variety of meaningful activities this past week.,NONE,1,CLAIM
D,6,2,"From cycling to the store and exercising at the gym to enjoying dinner with your partner, each moment reflects your commitment to maintaining both your physical health and your relationships.",NONE,2,CLAIM
D,6,3,"Your time spent with your mother, whether through visits or phone calls, showcases the importance you place on family connections.",NONE,3,CLAIM
D,6,4,"Additionally, playing with your grandchildren highlights the joy and love you share with them.",NONE,4,CLAIM
D,6,5,"Reflecting on your question about important actions, it is clear that you have indeed done something significant.",NONE,5,CLAIM
D,6,7,"Cycling and exercising are not just activities; they contribute to your well-being and vitality, reminding you of the importance of staying active.",PREMISE,7,CLAIM
D,6,9,Your efforts to connect with loved ones and engage in activities you enjoy bring richness to your life.,NONE,9,CLAIM
D,7,1,You have been actively engaging in a variety of meaningful activities that contribute to your overall wellbeing.,NONE,1,CLAIM
D,7,2,"From cycling to the store to enjoying dinners with your partner, you have been balancing physical, social, and recovery activities in your life.",NONE,2,CLAIM
D,7,3,"Each of these activities plays a significant role in nurturing your body and spirit, while also fostering connections with those you care about.",NONE,3,CLAIM
D,7,4,"Reflecting on the past week, you have fulfilled your motives by maintaining a routine that includes exercise, social interactions, and personal recovery time.",NONE,4,CLAIM
D,7,5,"You cycled to the store a few times, which not only keeps you physically active but also adds a sense of enjoyment to your errands.",CLAIM,5,PREMISE
D,7,8,Listening to podcasts and talking with your mother on the phone have provided you with valuable recovery time and mental stimulation.,CLAIM,8,PREMISE
D,7,9,"As you continue to engage in these activities, remember that each moment spent with loved ones and each effort to care for yourself adds purpose to your life.",NONE,9,CLAIM
D,7,10,Your commitment to maintaining these connections and taking care of your wellbeing is commendable.,NONE,10,CLAIM
D,8,2,"Cycling to the store and exercising at the gym have kept you physically active, while listening to podcasts has provided a delightful form of relaxation and entertainment.",CLAIM,2,PREMISE
D,8,3,"Your daily dinners with your partner foster closeness and shared joy, which is so important.",NONE,3,CLAIM
D,8,4,"Over the past week, you have fulfilled your social and recovery needs effectively.",NONE,4,CLAIM
D,8,6,Meeting your neighbors brings a sense of community into your life.,NONE,6,CLAIM
D,8,8,Each of these activities reflects your commitment to nurturing relationships and taking care of yourself.,NONE,8,CLAIM
D,8,9,"As you reflect on your activities, remember that the connections you maintain and the joy you find in simple moments give your life purpose and meaning.",NONE,9,CLAIM
D,8,11,Keep up the great work!,NONE,11,CLAIM
E,1,1,"You have a wonderful mix of activities that support your physical health, social connections, and personal enjoyment.",NONE,1,CLAIM
E,1,2,Your commitment to daily rehab exercises and rest with a heat pack shows your dedication to recovery.,NONE,2,CLAIM
E,1,7,Each of these activities has its own importance and can contribute to a fulfilling week.,NONE,7,CLAIM
E,1,9,"Embrace the activities that bring you joy and connection, and allow yourself to enjoy the process of recovery.",NONE,9,CLAIM
E,1,10,"You are doing great, and each week is an opportunity to create happiness in your life.",NONE,10,CLAIM
E,2,1,"You have a wonderful range of activities that support your physical health, recovery, and social connections.",NONE,1,CLAIM
E,2,2,"Each day, you dedicate time to rehab exercises and resting with a heat pack, both of which are crucial for your wellbeing.",NONE,2,CLAIM
E,2,3,Your short outdoor walks and weekly visits to cafes or restaurants with friends also add a nice balance of enjoyment and social interaction to your routine.,NONE,3,PREMISE
E,3,1,You have been doing a wonderful job incorporating various activities into your routine.,NONE,1,CLAIM
E,3,2,Your commitment to rehab exercises and daily rest with a heat pack shows your dedication to recovery.,NONE,2,CLAIM
E,3,12,Keep moving forward with confidence.,NONE,12,CLAIM
E,4,1,You have a wonderful variety of activities that contribute to your wellbeing.,NONE,1,CLAIM
E,4,2,"Your daily rehab exercises and rest with a heat pack show your commitment to recovery, and your short outdoor walks add a refreshing touch to your routine.",NONE,2,CLAIM
E,4,9,Reflect on how these activities not only promote recovery but also bring meaning to your days.,PREMISE,9,CLAIM
E,4,10,Each step you take towards better health is valuable.,PREMISE,10,NONE
E,4,12,"You are doing great, and each week is an opportunity for improvement.",NONE,12,CLAIM
E,5,1,You have been engaging in a variety of activities that contribute positively to your wellbeing.,NONE,1,CLAIM
E,5,2,Your commitment to daily rehab exercises and using a heat pack for rest shows your dedication to physical recovery.,NONE,2,CLAIM
E,5,3,"Additionally, your short outdoor walks and time spent watching sports provide a nice balance of movement and relaxation, while also allowing you to enjoy some leisure time.",CLAIM,3,PREMISE
E,5,4,"Reflecting on the past week, you have indeed done something important.",NONE,4,CLAIM
E,5,7,Each of these activities plays a vital role in your overall progress.,PREMISE,7,CLAIM
E,5,9,Your efforts in maintaining a routine that includes both physical and social activities are commendable.,NONE,9,CLAIM
E,6,1,You have been engaging in a variety of activities that support your wellbeing and recovery.,NONE,1,CLAIM
E,6,2,"Each day, you commit to your rehab exercises and take time to rest with a heat pack.",NONE,2,PREMISE
E,6,3,These actions are not just routine; they represent your dedication to maintaining your physical health.,NONE,3,CLAIM
E,6,4,"Additionally, your short outdoor walks bring a sense of freshness and connection to your environment, while your time spent watching sports allows you to enjoy and relax.",NONE,4,PREMISE
E,6,5,"Reflecting on your week, it's clear you’ve done many important things.",NONE,5,CLAIM
E,6,8,"These moments contribute not only to your physical wellbeing but also to your emotional health, ensuring you feel connected and engaged in life.",PREMISE,8,CLAIM
E,6,9,"As you look back on your week, remember that each small step you take is significant.",NONE,9,CLAIM
E,6,10,Your commitment to both physical and social activities shows strength and resilience.,NONE,10,CLAIM
E,6,12,Your efforts truly matter.,NONE,12,CLAIM
E,7,2,"Each day, you have dedicated time to your rehab exercises and used a heat pack to aid your recovery.",CLAIM,2,NONE
E,7,4,"Reflecting on the past week, you have successfully balanced your physical needs with social interactions.",NONE,4,CLAIM
E,7,6,"Your visits to cafes and restaurants with a friend, along with playing board games or computer games with your partner, have added joy and connection to your week.",NONE,6,CLAIM
E,7,7,These activities not only fulfill your social needs but also enhance your overall happiness.,NONE,7,CLAIM
E,7,8,"As you continue on this journey, remember that each small step you take is significant.",NONE,8,CLAIM
E,7,9,Your dedication to both recovery and social engagement is commendable.,NONE,9,CLAIM
E,8,1,You have engaged in a variety of activities that contribute positively to your wellbeing.,NONE,1,CLAIM
E,8,2,"By incorporating rehab exercises into your daily routine, you are prioritizing your physical health, even if it isn’t always the most enjoyable task.",NONE,2,CLAIM
E,8,3,"Your short outdoor walks and time spent watching sports provide you with both physical movement and the joy of leisure, helping you maintain a balance in life.",PREMISE,3,CLAIM
E,8,4,"Reflecting on the past week, you have consistently completed your rehab exercises, showing dedication to your recovery.",NONE,4,CLAIM
E,8,6,"Additionally, the moments you’ve spent socializing at cafes and playing board games or computer games with your partner have enriched your week, adding joy and connection to your life.",NONE,6,CLAIM
E,8,7,"Remember, each of these activities plays a vital role in your overall wellbeing.",NONE,7,CLAIM
E,8,8,Your commitment to both physical recovery and social interactions brings richness to your days.,NONE,8,CLAIM
E,8,9,"Continue to honor your needs and make time for the things that bring you joy, as this balance is essential for a fulfilling life.",NONE,9,CLAIM
