persona,story,segment,text,label
A,3,6,Include the handicraft circle once or twice,CLAIM
A,3,7,Gentle social time lifts mood without heavy exertion,PREMISE
A,3,8,Spacing effort protects energy and reduces stress; short sessions and naps help recovery,PREMISE
A,3,9,It may not be fully sufficient if your fatigue is high,PREMISE
A,3,10,Watch signs of tiredness and shorten sessions when needed,CLAIM
A,3,11,"If social calls or long gardening sessions tire you, shorten them or substitute a quiet walk",CLAIM
A,3,12,"A simple plan could be: garden one day, call or read the next, then walk, then handicraft",CLAIM
A,3,13,Build in one full quiet recovery block midweek with no plans,CLAIM
A,3,14,"You are taking sensible steps, and you can adjust with kindness.",NONE
A,4,1,You did well this week tending your garden and reading the news,NONE
A,4,2,I saw you pause on the bench with your cup in the afternoon,PREMISE
A,4,3,"You kept social contact and quiet time, despite feeling tired",NONE
A,4,4,"Next week, aim for a lighter routine and check your energy regularly",CLAIM
A,4,5,Call your children once midweek,CLAIM
A,4,6,That connection matters and lifts your mood,PREMISE
A,4,7,Read or watch news and a book,CLAIM
A,4,8,They calm you and reduce rumination,PREMISE
A,4,9,Take a short walk or meet a friend twice for movement and fresh air,CLAIM
A,4,10,"Try the handicraft circle once as a gentle social slot, if it feels appealing",CLAIM
A,4,11,Alternating days can help; rest links to less stress,PREMISE
A,4,12,Watch fatigue and shorten sessions,CLAIM
A,4,13,"Plan three activity blocks across the week, with one quiet recovery block",CLAIM
A,4,14,"Start Monday with gardening or reading, then pace yourself gently each day",CLAIM
A,4,15,"If alternating days feels strict, mix shorter activities into the same day.",CLAIM
A,5,1,"You did a lot this week, and that matters",NONE
A,5,2,You watered your garden while the morning light warmed your hands and you smelled very fresh soil,PREMISE
A,5,3,You also took a slow walk and paused to notice birds,PREMISE
A,5,4,"Your records show gardening, walks, the handicraft circle, calls, and quiet reading",PREMISE
A,5,5,"The record says many activities happened once a week, and some happened more often during the week",PREMISE
A,5,6,"You called your children once, and you rated that call very important",PREMISE
A,5,7,Reading and catching up on the news happened several times and helped you stay informed,PREMISE
A,5,8,Walks and the handicraft circle gave steady social and physical care,PREMISE
A,5,9,Relaxing with TV or a movie gave you rest and simple enjoyment after busy days,PREMISE
A,5,10,"Taken together, these moments make it indeed plausible you did something important last week",CLAIM
A,5,11,"The records are in a good position to know, and they match what you remember.",PREMISE
A,6,1,"You did more than you realize this week, Kim",NONE
A,6,2,You watered the roses and paused to enjoy their scent,PREMISE
A,6,3,You also took a gentle walk and said hello to a neighbor,PREMISE
A,6,4,Your activity records reliably show these events happened once this week,PREMISE
A,6,5,You called your children; you rated that activity importance five stars,PREMISE
A,6,6,"You spent quiet time reading news and books, rated importance four",PREMISE
A,6,7,You also joined a handicraft circle once during the week with friends,PREMISE
A,6,8,The records are consistent and show no clear contradiction,PREMISE
A,6,9,"Therefore, it is plausible that you did something important last week",CLAIM
A,6,10,"You can notice that caring calls, quiet reading, walks, gardening, and your handicraft time all added value to others and yourself, showing presence, connection, and steady kindness across the week",PREMISE
A,6,11,This pattern matters,CLAIM
A,6,12,"Those steady small actions build relationships, calm, and personal meaning even when they feel ordinary, and they remind you of the values you live by each day",PREMISE
A,7,1,"Good work this week, Kim",NONE
A,7,2,"You spent a quiet morning tending the garden, planting seedlings, pruning roses, and watering pots by hand",PREMISE
A,7,3,"That small scene shows steady care, patience, and attention",NONE
A,7,4,"You kept to activities reflecting values you hold and respect, with steady choices each week",NONE
A,7,5,"Gardening, daily walks, reading news, and your handicraft circle showed creativity, calm, curiosity, and social engagement",NONE
A,7,6,"The weekly call with your children was especially powerful for connection, warmth, and mutual support",PREMISE
A,7,7,"Walks with a friend and family member supported your physical health, companionship, and mood",PREMISE
A,7,8,"Relaxing with TV and movies felt lighter, but it helped you recover energy and unwind",PREMISE
A,7,9,"These choices mostly promote your goals, though they do not address every possible value or need",PREMISE
A,7,10,"This pattern shows you acted in line with your stated values, not by accident",CLAIM
A,7,11,"It matters that you prioritized connection, creativity, learning, and rest this week.",NONE
A,8,1,Nice work this week,NONE
A,8,2,"You knelt by the raised beds, sleeves damp",NONE
A,8,3,You answered the phone and smiled at your children's voices,PREMISE
A,8,4,"You gardened, walked, and relaxed with books and good films several times",PREMISE
A,8,5,"You called your children once this week, as planned, and spoke warmly",PREMISE
A,8,6,Those calls felt important and matched your family value clearly,PREMISE
A,8,7,"Once-a-week contact advanced that goal, eased worry, and reminded you of what matters",PREMISE
A,8,8,"Walks, reading, and visits promoted steady health, learning, companionship, and joy",PREMISE
A,8,9,"TV rest sometimes felt passive, yet it genuinely helped calm and recovery; the handicraft circle was lower priority but still offered creativity, social contact, and purpose",PREMISE
A,8,10,"Together, these activities show your motives guided real choices this month",CLAIM
A,8,11,"You mostly acted in line with your values, with honest limits and small tensions",CLAIM
A,8,12,That matters; be gentle with yourself and notice the alignment daily.,CLAIM
B,1,1,You have been active and stayed close to family lately,PREMISE
B,1,2,"This morning you locked your bike after a calm ride to the store, smiling at a neighbour",PREMISE
B,1,3,That steady effort shows you care about feeling well and connection,NONE
B,1,4,"Next week, pick a few small activities you enjoy regularly and feel comfortable doing",CLAIM
B,1,5,Cycle to the store on two afternoons,CLAIM
B,1,6,Fresh air improves mood and it is easy to manage,PREMISE
B,1,7,Go to the gym for short sessions three times,CLAIM
B,1,8,Movement raises energy and keeps joints flexible,PREMISE
B,1,9,Have one quiet dinner with your partner,CLAIM
B,1,10,Shared time matters and helps you relax,PREMISE
B,1,11,Listen to a favourite podcast during a walk,CLAIM
B,1,12,It keeps you engaged and gives pleasant company,PREMISE
B,1,13,Play with grandchildren briefly and safely,CLAIM
B,1,14,Small joy restores spirit and creates warm memories,PREMISE
B,1,15,"Plan two bike trips, three gym visits, and one shared dinner spread through the week",CLAIM
B,1,16,Add a short phone call with your mother and a grandchild visit on days that feel right,CLAIM
B,1,17,"Small, safe steps each day will help make next week happier and more energizing too.",PREMISE
B,2,1,You already make good choices every day,NONE
B,2,2,"This morning you locked your bike and smiled at the clear air, then listened to a short podcast on the way home",PREMISE
B,2,3,You notice small wins every day,PREMISE
B,2,4,"Next week, focus on small, manageable pleasures each day",CLAIM
B,2,5,Start with two short gym sessions,CLAIM
B,2,6,Movement reliably lifts energy and mood,PREMISE
B,2,7,Cycle to the store a few times,CLAIM
B,2,8,Fresh air and light activity clear your mind,PREMISE
B,2,9,Plan one relaxed dinner with your partner,CLAIM
B,2,10,Steady connection matters more than perfect plans,PREMISE
B,2,11,Play with your grandchildren briefly,CLAIM
B,2,12,Small visits bring joy without tiring you,PREMISE
B,2,13,Greet neighbours when you can,CLAIM
B,2,14,Friendly moments add gentle social support,PREMISE
B,2,15,"Book two gym sessions, two bike errands, and one partner dinner across the week",CLAIM
B,2,16,"Call your mother midweek, and allow short grandchild visits on the weekend; rest on other days",CLAIM
B,2,17,"You're taking thoughtful steps toward a happier, energizing week.",NONE
B,3,1,You are doing a good job keeping up with things,NONE
B,3,2,You cycled to the store yesterday and carried groceries home easily,PREMISE
B,3,3,You shared a calm dinner with your partner and enjoyed conversation together,PREMISE
B,3,4,"Next week, try a lighter routine with activities on alternate days and easy mornings",CLAIM
B,3,5,Keep daily dinners with your partner,CLAIM
B,3,6,They steady your mood and comfort you,NONE
B,3,7,"Aim for play with your grandchildren on alternating visit days, when possible",CLAIM
B,3,8,Include short gym sessions,CLAIM
B,3,9,Gentle exercise supports recovery and mobility too,PREMISE
B,3,10,"Use phone calls, neighbours, and podcasts for lighter social contact and small breaks",CLAIM
B,3,11,"Spacing effort reduces stress, but this may not suffice alone",PREMISE
B,3,12,Adapt as you go,CLAIM
B,3,13,Try this simple schedule: alternate activity days and one recovery block midweek,CLAIM
B,3,14,"Adjust timing and intensity as needed, and rest when you feel tired",CLAIM
B,3,15,"You can do this, and small changes really help you recover reliably over time.",NONE
B,4,1,"You kept moving and stayed connected this week, showing steady effort and resilience",PREMISE
B,4,2,"You cycled to the store and had dinner with your partner nightly, and rested",PREMISE
B,4,3,You also phoned your mother and listened to short podcasts between tasks,PREMISE
B,4,4,"Next week, choose a lighter routine with alternate activity days for balance",CLAIM
B,4,5,Prioritize dinner with your partner and play with grandchildren,CLAIM
B,4,6,They matter,PREMISE
B,4,7,Call your mother and meet neighbours on alternate days,CLAIM
B,4,8,Connection helps,PREMISE
B,4,9,Include shorter gym sessions,CLAIM
B,4,10,You rated them less fun,PREMISE
B,4,11,"Focus on mobility and gentle strength, avoiding overly intense sessions",CLAIM
B,4,12,Space effort and rest,CLAIM
B,4,13,"Spacing protects energy and reduces stress, but this plan may not be sufficient alone",PREMISE
B,4,14,Consider medical advice if fatigue persists,CLAIM
B,4,15,Try alternating outing days with one quiet recovery block each week,CLAIM
B,4,16,"If you feel drained, skip an outing and rest instead",CLAIM
B,4,17,You will recover more with steady pacing and kind boundaries.,PREMISE
B,5,1,"You showed steady care and connection throughout the week, Kim",PREMISE
B,5,2,"You biked to the store and brought home groceries, and you smiled at a neighbour",PREMISE
B,5,3,You paused several times to call your mother from the porch swing,PREMISE
B,5,4,"Your activity records list cycling, gym visits, podcast time, and short walks around the block",PREMISE
B,5,5,"They also note dinners, visits, phone calls, neighbours, and friendly chats, which kept you socially connected",PREMISE
B,5,6,"You played with grandchildren, and you had daily dinners that brought routine",PREMISE
B,5,7,"The dinners and visits felt most important and fulfilling, showing care and reminding you of shared history",PREMISE
B,5,8,"The gym was less fun, but it still helped your energy levels",PREMISE
B,5,9,"Given those records, which are generally reliable though not perfect, it is plausible you did something important and meaningful",CLAIM
B,5,10,"This shows your week held connection, care, and steady effort, and it helped you feel steady",CLAIM
B,5,11,"That matters; you did something important, Kim",CLAIM
B,5,12,Take pride in these small caring choices you make daily.,CLAIM
B,6,1,You kept showing up for people and for yourself this week,PREMISE
B,6,2,"On a morning ride to the store, you greeted neighbours",PREMISE
B,6,3,"You listened to a podcast while you shopped, which kept your mind gently engaged",PREMISE
B,6,4,"Your activity logs record cycling, gym visits, and podcast listening several times",PREMISE
B,6,5,They also show daily dinners with your partner and visits to your mother in person,PREMISE
B,6,6,"You talked with your mother on the phone and met neighbours a few times, checking in kindly",PREMISE
B,6,7,You played with your grandchildren; that interaction was meaningful though it occurred only every other week,PREMISE
B,6,8,"Gym sessions felt less fun, yet they supported your strength and daily routine",PREMISE
B,6,9,"Overall, the logs are in a good position to know and match your routine",PREMISE
B,6,10,"Taken together, these moments show care, connection, and steady presence",CLAIM
B,6,11,There is no similar record contradicting this account,PREMISE
B,6,12,You did something important this week; that matters,CLAIM
B,6,13,Well done.,NONE
B,7,1,"Well done this week, Kim",NONE
B,7,2,You rode your bike to the store and came home smiling,PREMISE
B,7,3,You also listened to podcasts while you cycled and later had a quiet gym session,PREMISE
B,7,4,"You went to the gym once, even if it felt less fun",PREMISE
B,7,5,Having dinner with your partner every night showed steady commitment and companionship,PREMISE
B,7,6,Calls and visits with your mother strengthened your family ties and gave comfort,PREMISE
B,7,7,"Cycling, podcasts, and meeting neighbours a few times weekly kept you socially and mentally engaged",PREMISE
B,7,8,"Playing with grandchildren, though less frequent, brought you great joy and reminded you why connection matters",PREMISE
B,7,9,"These activities help, but they are not the only way to live your values",PREMISE
B,7,10,This pattern shows your actions often matched your stated values over the week,CLAIM
B,7,11,"There may be small tensions with time and energy, but overall you acted with care and kindness",CLAIM
B,7,12,"Keep noticing these moments, Kim; they quietly shape your days and matter more than you may think.",CLAIM
B,8,1,"You did well this past week, Kim, staying present for the people and goals you value, and your steady choices mattered",NONE
B,8,2,You locked your bike after a quick store run and then listened to a short podcast while you rested,PREMISE
B,8,3,"You cycled to the store, went to the gym once, and kept moving most days",PREMISE
B,8,4,You listened to podcasts during quiet moments and used them to learn and reflect,PREMISE
B,8,5,"You had dinner with your partner every evening, which strengthened daily connection and comfort",PREMISE
B,8,6,"You visited your mother, and you phoned her on other days to show steady care",PREMISE
B,8,7,"You met neighbours and you played with grandchildren, confirming that family and community stay central",PREMISE
B,8,8,"Exercise felt less fun, but it still supported health goals and matched deeper values, even if no single action suffices",NONE
B,8,9,"Taken together, these actions align clearly with the values you named",CLAIM
B,8,10,"That shows steady care for health and relationships; you can be proud, Kim.",NONE
C,1,1,"You have kept steady, gentle habits, and that shows real self-care indeed",NONE
C,1,2,You stretch by the window and read for a little while each evening,PREMISE
C,1,3,You enjoy a warm cup of tea while turning pages slowly,PREMISE
C,1,4,Do short exercise three times next week,CLAIM
C,1,5,It boosts energy and endurance,PREMISE
C,1,6,Add gentle stretching before and after,CLAIM
C,1,7,It reduces stiffness and eases muscles,PREMISE
C,1,8,Arrange one video call with your sister midweek,CLAIM
C,1,9,Connection lifts your mood,PREMISE
C,1,10,Read a novel or listen to music each night,CLAIM
C,1,11,Quiet time calms you,PREMISE
C,1,12,Try one art study circle session,CLAIM
C,1,13,Creativity can often lift spirits and focus,PREMISE
C,1,14,Keep activities small and safe,CLAIM
C,1,15,Steady progress matters for wellbeing and joy,PREMISE
C,1,16,"Try Monday, Wednesday, and Friday for brief exercise and a short morning stretching routine",CLAIM
C,1,17,"Call your sister midweek, visit one art circle, and read twenty relaxed minutes nightly at an easy pace.",CLAIM
C,2,1,You have tended to your routines with patience and care this week,NONE
C,2,2,"This morning you brewed tea, smiled, and laced your walking shoes",PREMISE
C,2,3,You noticed the light on your table and felt calm,PREMISE
C,2,4,"Next week, choose brief, safe activities that steadily lift your mood and energy",CLAIM
C,2,5,Do the exercise program three times,CLAIM
C,2,6,"Movement improves energy, balance, and confidence",PREMISE
C,2,7,Keep daily stretching,CLAIM
C,2,8,"It eases stiffness, reduces pain, and helps you move easier",PREMISE
C,2,9,Schedule a video call with your sister,CLAIM
C,2,10,"Connection brings comfort, perspective, and happiness",PREMISE
C,2,11,Read a short novel chapter or play music between tasks to relax and savor small pleasures,CLAIM
C,2,12,"Check that these activities truly match your values, avoid conflicts, and consider easier alternatives",CLAIM
C,2,13,"Plan three brief exercise sessions, daily five-minute stretches, one sister call, short reading times, and music breaks",CLAIM
C,2,14,"Consider joining the art study circle once if it feels comfortable, safe, and rewarding.",CLAIM
C,3,1,"You did well keeping many healthy habits this week, Kim, well done",NONE
C,3,2,You often close your book and stretch by the window each morning,PREMISE
C,3,3,"Your steady efforts show in small daily routines, and you notice small gains",PREMISE
C,3,4,"For next week, adopt a lighter routine with more spacing and rest",CLAIM
C,3,5,Keep reading novels daily,CLAIM
C,3,6,It brings you joy and calm always,PREMISE
C,3,7,Play music every other day,CLAIM
C,3,8,It lifts mood without tiring you,PREMISE
C,3,9,"Place exercise, stretching, video calls, and art on alternate days at home",CLAIM
C,3,10,Add one quiet recovery block each week,CLAIM
C,3,11,Spacing protects energy regularly and reduces stress,PREMISE
C,3,12,This may help but might not be fully sufficient,NONE
C,3,13,Watch for loneliness and low energy,CLAIM
C,3,14,"Plan three active days, two light days, and one quiet recovery day",CLAIM
C,3,15,"Adjust as you feel and keep gentle boundaries with commitments that help, and ask for help when something feels too much.",CLAIM
C,4,1,"You kept many routines this week, and that shows steady care",NONE
C,4,2,I picture you reading a novel softly in the chair,NONE
C,4,3,You also made video calls and attended the art study circle,NONE
C,4,4,"Next week, aim for alternate days for core activities and rest",CLAIM
C,4,5,Keep reading novels every day,CLAIM
C,4,6,It calms you and grounds emotion,PREMISE
C,4,7,Listen to music on other days,CLAIM
C,4,8,"It lifts mood, reduces stress, and helps sleep",PREMISE
C,4,9,Include light exercise and stretching twice weekly,CLAIM
C,4,10,"Movement maintains strength and balance, but keep intensity low",PREMISE
C,4,11,"Spacing effort protects energy and reduces stress, so this pattern supports recovery",PREMISE
C,4,12,"Still, check whether alternate days are sufficient when you feel unusually tired, and watch for soreness or fatigue before adding more",CLAIM
C,4,13,"Plan three active days, three lighter days, and one full quiet recovery day",CLAIM
C,4,14,"Adjust pacing, skip activities when needed, and call your sister when lonely or low for support.",CLAIM
C,5,1,"You showed steady care for yourself this week, and that truly matters to your well being",NONE
C,5,2,"You sat by the window, sipping tea after your exercise routine, watching light change",PREMISE
C,5,3,"You made time for small comforts, books, and quiet connection with others",PREMISE
C,5,4,"Daily reading brought comfort and steady mental stimulation every morning, as you read novels most days",PREMISE
C,5,5,"Your exercise program and regular stretching, done a few times per week, helped your balance and energy",PREMISE
C,5,6,"Video calls with your sister and the art study circle felt meaningful, and they happened a few times",PREMISE
C,5,7,"Listening to music, which you rated slightly lower, still lifted mood every other day",PREMISE
C,5,8,"Together these activities showed care, curiosity, creativity, gentle resilience, and small daily victories",PREMISE
C,5,9,"Taken together, your records make it plausible you did something important in ways that mattered to you",CLAIM
C,5,10,This pattern suggests you experienced meaningful moments and steady progress,CLAIM
C,5,11,It is reasonable to conclude that last week mattered to you,CLAIM
C,5,12,Be gentle with yourself and appreciate what you achieved quietly.,CLAIM
C,6,1,"Well done, Kim",NONE
C,6,2,You kept steady care and followed familiar routines through your week,NONE
C,6,3,"After stretching, you sat by the window with a cup of tea and noticed the afternoon light",PREMISE
C,6,4,Your activity records show repeated habits across the week,PREMISE
C,6,5,You completed exercise sessions and gentle stretching several times this week,PREMISE
C,6,6,"You read novels every day, which provided comfort, pleasure, and mental challenge",PREMISE
C,6,7,You listened to music often; familiar songs lifted your mood and helped focus,PREMISE
C,6,8,You joined an art study circle and shared observations while practicing new techniques,PREMISE
C,6,9,"You also had a warm video call with your sister, and the records look consistent, so it is plausible you did something important last week",CLAIM
C,6,10,"This pattern shows your days contained meaningful care, steady learning, and real social connection that supported your wellbeing and sense of purpose",CLAIM
C,6,11,"Recognize this as important work you did last week, even in quiet ways.",CLAIM
C,7,1,You greeted the morning with a short stretching routine,PREMISE
C,7,2,You also sat with a novel and a cup of tea,PREMISE
C,7,3,"That steady care shows in small, consistent choices every day",NONE
C,7,4,You kept to your exercise program several times this week and noticed more stamina,PREMISE
C,7,5,"You read novels every day, and the stories brought calm and perspective",PREMISE
C,7,6,Music came on every other day and helped shifts in your mood,PREMISE
C,7,7,Calls with your sister and attending the art study circle built warmth and connection,PREMISE
C,7,8,"These actions reflect your values of health, lifelong learning, creativity, and belonging, and they confirm your priorities",PREMISE
C,7,9,"They promote your goals, though they are not the only steps and sometimes compete with needed rest",PREMISE
C,7,10,This week shows you acted in line with your values and priorities,CLAIM
C,7,11,"That alignment brings steady comfort, proof of thoughtful daily choices and resilience and helps you face harder days with calm.",CLAIM
C,8,1,"You did well this week, Kim",NONE
C,8,2,You sat by the window reading after a gentle morning stretch,PREMISE
C,8,3,"You chose several small, steady actions that matched your values",PREMISE
C,8,4,You followed your exercise program and did regular stretching several times,PREMISE
C,8,5,"You read novels daily, which you rated very important and very fun, and this kept your curiosity alive",PREMISE
C,8,6,"You listened to music every other day; you rated it slightly lower, yet it lifted your mood",PREMISE
C,8,7,"You video called your sister and joined the art study circle twice, sharing ideas and warmth",PREMISE
C,8,8,"Overall, these activities feel genuine, align with your values, and helped your goals this month",PREMISE
C,8,9,"They generally have no clear conflicts with other important values, though some goals might need added focus or different supports",PREMISE
C,8,10,This shows your week aligned well with your stated motives and priorities,CLAIM
C,8,11,Keep noticing what feels meaningful and gentle to you each day now.,CLAIM
D,1,1,You have been steady with your rehab exercises by the kitchen window each morning,NONE
D,1,2,You enjoy short outdoor walks and calm afternoons with a heat pack,NONE
D,1,3,That steady care shows kindness and clear effort toward your wellbeing,NONE
D,1,4,"Next week, plan small, pleasant activities each day to lift mood",CLAIM
D,1,5,Do rehab exercises in the morning,CLAIM
D,1,6,They strengthen you and build confidence,PREMISE
D,1,7,Take short outdoor walks,CLAIM
D,1,8,"Fresh air gently raises energy and clarity, then rest with a heat pack",PREMISE
D,1,9,Fresh air gently raises energy and clarity,PREMISE
D,1,10,Rest with a heat pack,CLAIM
D,1,11,Shared meals feel rewarding,PREMISE
D,1,12,Enjoy a sports game or play board and computer games with your partner,CLAIM
D,1,13,Companionship lifts spirit,PREMISE
D,1,14,Aim for one small morning activity and one gentle afternoon activity each day,CLAIM
D,1,15,"Keep sessions short, safe, and social when possible, and choose what feels doable",CLAIM
D,1,16,"You are making wise choices, Kim, and next week can feel happier and more energizing.",NONE
D,2,1,"You have been steady with your rehab work and rest this week, quietly",NONE
D,2,2,"This morning you did exercises, then eased into a warm heat pack",PREMISE
D,2,3,You notice small gains and you stay patient and steady and hopeful,NONE
D,2,4,"Next week, aim for small, regular rehab sessions every other day, gently",CLAIM
D,2,5,Keep short outdoor walks twice daily,CLAIM
D,2,6,Movement lifts mood and energy,PREMISE
D,2,7,Choose one cafe outing or a gentle restaurant lunch,CLAIM
D,2,8,Company matters,PREMISE
D,2,9,Share a board game or computer game night with your partner weekly,CLAIM
D,2,10,Allow extra heat-pack rest if pain or fatigue increases without guilt sometimes,CLAIM
D,2,11,These choices respect your comfort and desire for enjoyment and safety first,PREMISE
D,2,12,"Make a very simple, flexible plan for next week, and rest too",CLAIM
D,2,13,"Try three brief rehab sessions, daily walks, and a cafe visit weekly",CLAIM
D,2,14,"You can do this, and I believe you will feel happier and more energetic soon and safe.",NONE
D,3,1,"You have kept up with hard days, and that matters a lot",NONE
D,3,2,Yesterday you sat at the kitchen table with your heat pack again,PREMISE
D,3,3,You completed rehab exercises most days this week and kept going well,PREMISE
D,3,4,"Next week, try an alternating routine instead of doing everything daily, slowly",CLAIM
D,3,5,"Prioritize rehab exercises, even though you rated them less fun",CLAIM
D,3,6,They matter,PREMISE
D,3,7,"Make walks, watching sports, cafés, and games alternate days to rest more",CLAIM
D,3,8,"Research and rehab advice show spacing helps, though it may not suffice",PREMISE
D,3,9,Doing everything daily can raise fatigue and slow healing over time too,PREMISE
D,3,10,"If pain or tiredness stay high, use shorter sessions and more rest and call your clinician",CLAIM
D,3,11,Plan an easy week: alternate activity days and add one quiet block,CLAIM
D,3,12,"Shorten rehab sets, keep walks brief, and enjoy one cafe outing together",CLAIM
D,3,13,You are doing well and can also adjust this plan anytime if needed.,NONE
D,4,1,"Kim, you have kept up with your routine this week, steadily so indeed",NONE
D,4,2,I noticed you managed rehab exercises and short walks after breakfast today,PREMISE
D,4,3,You sit with a heat pack in the living room each day,PREMISE
D,4,4,"Next week, lighten the schedule by alternating active days and rest days",CLAIM
D,4,5,"On active days, do rehab exercises, short walks, and a cafe visit",CLAIM
D,4,6,"On rest days, keep your heat pack, watch sports and nap briefly",CLAIM
D,4,7,"They help reduce pain, ease muscles, and lower stress levels, and lift your mood",PREMISE
D,4,8,"You rated rehab as less fun, but short daily sessions still help",PREMISE
D,4,9,"Doing everything daily caused fatigue; spacing protects energy, as studies clearly show",PREMISE
D,4,10,"Try active days on Monday, Wednesday, and Friday mornings with brief activity",CLAIM
D,4,11,Add one quiet recovery block on Saturday with extra rest and short reading,CLAIM
D,4,12,"You can follow this plan gently, with patience, and you will recover better soon.",PREMISE
D,5,1,"You did well this week, Kim",NONE
D,5,2,You eased into the morning after a short walk with tea,PREMISE
D,5,3,You rested with a heat pack afterward each evening and read quietly,PREMISE
D,5,4,Your records show you did rehab exercises every day for recovery,PREMISE
D,5,5,You also took short outdoor walks each day for fresh air and balance,PREMISE
D,5,6,"You watched sports and rested with a heat pack daily, which soothed your muscles",PREMISE
D,5,7,"You visited a cafe or restaurant and played games with your partner, enjoying company",PREMISE
D,5,8,Short walks gave fresh air and steady movement for joints,PREMISE
D,5,9,"Rehab felt less fun, but it stayed important for your steady progress and kept you moving",PREMISE
D,5,10,"Given this steady pattern of daily care and social time, it is plausible you did something important",CLAIM
D,5,11,The activity records are in a strong position to know your routine and results,PREMISE
D,5,12,"That matters, and you can feel quietly proud of your steady effort.",NONE
D,6,1,"You kept a steady routine this week, and that mattered a lot",NONE
D,6,2,You sat with a heat pack while quietly watching the sports game,NONE
D,6,3,"These daily habits reflected persistence, patience, and steady self-care all week, Kim",NONE
D,6,4,Your activity records indicate rehab exercises occurred each day without skipping sessions,PREMISE
D,6,5,"You did rehab exercises, less fun but essential, and short walks",PREMISE
D,6,6,"You rested with a heat pack each day to ease discomfort, relax",PREMISE
D,6,7,You went to a cafe and shared games with your partner together,PREMISE
D,6,8,"Rehab exercises felt less fun, yet they clearly supported your recovery progress",PREMISE
D,6,9,"Given these reliable records and steady effort, seems plausible you achieved something",CLAIM
D,6,10,"This pattern shows care, connection, and steady gains in daily life today",CLAIM
D,6,11,You can reasonably trust the activity records as a useful guide now,PREMISE
D,6,12,"Be gentle with yourself and notice these quiet, important achievements each day.",CLAIM
D,7,1,"Kim, you did well this week caring for your health and relationships",NONE
D,7,2,You sat with a heat pack after a short afternoon walk around the block,PREMISE
D,7,3,Those quiet moments show steady attention and gentle determination to recovery,NONE
D,7,4,"You did your rehab exercises each day, even when they felt hard and repetitive",PREMISE
D,7,5,"Daily short outdoor walks gave you fresh air, simple pleasure, and helped mobility",PREMISE
D,7,6,You watched sports on TV and shared excitement with your partner,PREMISE
D,7,7,You went to cafes or restaurants and enjoyed a change of scene and friendly conversation,PREMISE
D,7,8,Evenings playing board or computer games kept connection strong and gave laughter,PREMISE
D,7,9,Noticing rehab felt less fun helps explain how it still helps your long term goals,PREMISE
D,7,10,All these actions match the values and priorities you said you hold,CLAIM
D,7,11,"They promote health, comfort, and companionship in practical, steady ways in everyday life",CLAIM
D,7,12,"You have been consistent and thoughtful, and that matters deeply to your recovery.",CLAIM
D,8,1,"Well done, Kim; you met your goals this week with steady focus",NONE
D,8,2,You paused after short walks to use a heat pack and breathe,NONE
D,8,3,You smiled while sharing a game and a warm drink with them,NONE
D,8,4,"This week you acted consistently and intentionally in line with values, Kim",CLAIM
D,8,5,Daily rehab exercises and short walks directly promoted physical recovery and mobility,PREMISE
D,8,6,Rest with a heat pack and watching sports supported recovery and mental calm,PREMISE
D,8,7,Going to cafes and playing games with your partner showed strong connection and laughter,PREMISE
